etf_ticker,stock_ticker,stock_name,stock_ename,weight_pct,qty
0050,2330,台積電,Taiwan Semiconductor Manufacturing Co. Ltd.,57.91,493824610
0050,2454,聯發科,MediaTek Inc.,6.48,29737287
0050,2308,台達電,DELTA ELECTRONICS INC.,4.68,39254436
0050,2317,鴻海,HON HAI PRECISION IND. CO. LTD.,3.55,246635980
0050,3711,日月光投控,ASE Technology Holding Co. Ltd.,1.94,66561850
0050,2303,聯電,UNITED MICROELECTRONICS CORP.,1.45,235094828
0050,2383,台光電,ELITE  MATERIAL CO. LTD.,1.38,5802824
0050,3037,欣興,Unimicron Technology Corp.,1.29,26981373
0050,2345,智邦,Accton Technology Corp.,1.24,10044826
0050,2891,中信金,CTBC FINANCIAL HOLDING CO. LTD.,1.2,358173020
0050,2327,國巨*,YAGEO CORPORATION,1.14,31313359
0050,2382,廣達,QUANTA COMPUTER INC.,1.06,53425486
0050,2360,致茂,CHROMA ATE INC.,0.96,7474269
0050,2881,富邦金,Fubon Financial Holding Co. Ltd.,0.94,168335141
0050,2882,國泰金,CATHAY FINANCIAL HOLDING CO. LTD.,0.88,188863163
0050,3017,奇鋐,Asia Vital Components Co. Ltd.,0.87,6566041
0050,2885,元大金,Yuanta Financial Holding Co. Ltd,0.69,219992409
0050,2887,台新新光金,TS Financial Holding Co. Ltd.,0.65,463977967
0050,2357,華碩,ASUSTEK COMPUTER INC.,0.6,13775275
0050,6669,緯穎,Wiwynn Corporation,0.57,2087052
0050,2344,華邦電,Winbond Electronics Corporation,0.56,62940503
0050,1303,南亞,NAN YA PLASTICS CORPORATION,0.54,99386635
0050,2412,中華電,Chunghwa Telecom Co. Ltd,0.54,76975827
0050,3231,緯創,Wistron Corporation,0.53,61705138
0050,2884,玉山金,E.SUN FINANCIAL HOLDING COMPANYLTD.,0.51,309585952
0050,2886,兆豐金,Mega Financial Holding Company Ltd.,0.49,238239371
0050,2301,光寶科,LITE-ON TECHNOLOGY CORP.,0.48,39179669
0050,2368,金像電,GOLD CIRCUIT ELECTRONICS LTD,0.46,6943335
0050,2408,南亞科,NANYA TECHNOLOGY CORPORATION,0.44,22653340
0050,2883,凱基金,KGI Financial Holding Co. Ltd.,0.43,318609840
0050,2890,永豐金,SINOPAC  FINANCIAL HOLDINGS COMPANY LIMITED,0.42,255892757
0050,7769,鴻勁,Hon.Precision Inc.,0.42,1150910
0050,1216,統一,UNI-PRESIDENT ENTERPRISES CORP.,0.36,99322576
0050,3008,大立光,LARGAN Precision Co.Ltd,0.36,1935830
0050,2449,京元電子,KING YUAN ELECTRONICS CO. LTD.,0.35,21938218
0050,2880,華南金,HUA NAN FINANCIAL HOLDINGS CO. LTD.,0.35,187654571
0050,3661,世芯-KY,Alchip Technologies Limited,0.34,1601668
0050,2892,第一金,First  Financial  Holding  Co.  Ltd.,0.32,218878860
