etf_ticker,stock_ticker,stock_name,weight_pct,shares
0050,2330,台積電,57.91,493824610
0050,2454,聯發科,6.48,29737287
0050,2308,台達電,4.68,39254436
0050,2317,鴻海,3.55,246635980
0050,3711,日月光投控,1.94,66561850
0050,2303,聯電,1.45,235094828
0050,2383,台光電,1.38,5802824
0050,3037,欣興,1.29,26981373
0050,2345,智邦,1.24,10044826
0050,2891,中信金,1.2,358173020
0050,2327,國巨*,1.14,31313359
0050,2382,廣達,1.06,53425486
0050,2360,致茂,0.96,7474269
0050,2881,富邦金,0.94,168335141
0050,2882,國泰金,0.88,188863163
0050,3017,奇鋐,0.87,6566041
0050,2885,元大金,0.69,219992409
0050,2887,台新新光金,0.65,463977967
0050,2357,華碩,0.6,13775275
0050,6669,緯穎,0.57,2087052
0050,2344,華邦電,0.56,62940503
0050,1303,南亞,0.54,99386635
0050,3231,緯創,0.53,61705138
0050,2884,玉山金,0.51,309585952
0050,2886,兆豐金,0.49,238239371
0050,2301,光寶科,0.48,39179669
0050,2368,金像電,0.46,6943335
0050,2408,南亞科,0.44,22653340
0050,2883,凱基金,0.43,318609840
0050,2890,永豐金,0.42,255892757
0050,3008,大立光,0.36,1935830
0050,2880,華南金,0.35,187654571
0050,3661,世芯-KY,0.34,1601668
0050,2892,第一金,0.32,218878860
0050,3653,健策,0.31,1699723
0050,2059,川湖,0.3,1144082
0050,2603,長榮,0.25,21916665
0050,2395,研華,0.24,9261341
0050,4904,遠傳,0.18,35779295
0050,3045,台灣大,0.16,28510999
0050,2207,和泰車,0.13,5644659
0050,6505,台塑化,0.07,24016282
006208,2330,台積電,57.94,108864064
006208,2454,聯發科,6.48,6559042
006208,2308,台達電,4.66,8617581
006208,2317,鴻海,3.55,54310679
006208,3711,日月光投控,1.93,14608577
006208,2303,聯電,1.45,51900891
006208,2383,台光電,1.38,1277000
006208,3037,欣興,1.29,5941000
006208,2345,智邦,1.24,2208000
006208,2891,中信金,1.19,78626506
006208,2327,國巨*,1.15,6913728
006208,2382,廣達,1.06,11751301
006208,2360,致茂,0.96,1643000
006208,2881,富邦金,0.95,37158543
006208,2882,國泰金,0.88,41694200
006208,3017,奇鋐,0.87,1444000
006208,2885,元大金,0.69,48522456
006208,2887,台新新光金,0.65,102385500
006208,2357,華碩,0.61,3041657
006208,6669,緯穎,0.57,461000
006208,2344,華邦電,0.56,13896000
006208,1303,南亞,0.54,21941502
006208,2884,玉山金,0.51,68345867
006208,2886,兆豐金,0.49,52595130
006208,2301,光寶科,0.48,8650000
006208,2368,金像電,0.46,1533000
006208,2408,南亞科,0.44,5002000
006208,2883,凱基金,0.43,70228545
006208,2890,永豐金,0.42,56453373
006208,3008,大立光,0.37,428468
006208,1216,統一,0.36,21927765
006208,2880,華南金,0.35,41428046
006208,3661,世芯-KY,0.34,354000
006208,2892,第一金,0.32,48321640
006208,3653,健策,0.31,376000
006208,2059,川湖,0.3,253000
006208,2603,長榮,0.25,4839000
006208,2395,研華,0.24,2045538
006208,1301,台塑,0.21,18683117
006208,4904,遠傳,0.18,7899506
006208,3045,台灣大,0.16,6294368
006208,2207,和泰車,0.14,1247044
006208,6919,康霈*,0.09,4410000
006208,6505,台塑化,0.07,5302203
0056,2454,聯發科,9.01,14481582
0056,2303,聯電,7.19,409739265
0056,3711,日月光投控,5.23,62833060
0056,2357,華碩,4.29,34225623
0056,2891,中信金,4.25,445070519
0056,2382,廣達,4.23,74576938
0056,2885,元大金,3.34,371974884
0056,2301,光寶科,3.25,93273010
0056,2603,長榮,3,90651851
0056,3231,緯創,2.93,118766010
0056,2880,華南金,2.7,510040090
0056,2317,鴻海,2.59,62915847
0056,2890,永豐金,2.54,546929266
0056,2449,京元電子,2.39,52854501
0056,3036,文曄,2.24,56489592
0056,3045,台灣大,2.23,137241705
0056,2379,瑞昱,2.17,24780053
0056,2886,兆豐金,2.16,366011550
0056,2883,凱基金,2.08,541816247
0056,1216,統一,1.97,190857686
0056,3034,聯詠,1.91,27891434
0056,6239,力成,1.75,35228004
0056,3044,健鼎,1.74,24248482
0056,2376,技嘉,1.62,30873614
0056,4938,和碩,1.6,117742020
0056,2884,玉山金,1.56,331847287
0056,2887,台新新光金,1.51,375915282
0056,2618,長榮航,1.31,246443372
0056,3702,大聯大,1.21,74131230
0056,5876,上海商銀,1.2,209238406
0056,2324,仁寶,1.19,199592710
0056,6285,啟碁,0.93,22402362
0056,2474,可成,0.87,25653863
0056,2377,微星,0.73,37390376
0056,2105,正新,0.72,149071238
0056,2353,宏碁,0.71,129368038
0056,1102,亞泥,0.69,144053066
0056,2385,群光,0.68,33028274
0056,2027,大成鋼,0.63,102492649
0056,3023,信邦,0.48,10984453
0056,3005,神基,0.44,28634662
0056,9904,寶成,0.39,106402581
0056,1319,東陽,0.35,25721349
0056,1477,聚陽,0.34,10607116
0056,2645,長榮航太,0.32,13655996
0056,2006,東和鋼鐵,0.3,31868966
0056,6176,瑞儀,0.28,19492053
00878,2382,廣達,11.16,168841000
00878,2891,中信金,9.85,885744000
00878,2882,國泰金,5.87,380447486
00878,2357,華碩,5.41,37065000
00878,2603,長榮,4.17,108074000
00878,2303,聯電,3.85,188142000
00878,2454,聯發科,3.7,5113000
00878,2887,台新新光金,2.66,569427000
00878,2379,瑞昱,2.63,25748000
00878,3711,日月光投控,2.59,26736000
00878,2301,光寶科,2.55,62856000
00878,2881,富邦金,2.54,136399945
00878,5347,世界先進,2.48,93188442
00878,3045,台灣大,2.46,129747000
00878,2885,元大金,2.44,233803516
00878,3034,聯詠,2.43,30366000
00878,4904,遠傳,2.41,144292000
00878,4958,臻鼎-KY,2.39,29676000
00878,2886,兆豐金,2.37,343589964
00878,1216,統一,2.31,191517000
00878,3231,緯創,2.29,79488000
00878,2356,英業達,2.28,178956000
00878,2412,中華電,2.26,97767000
00878,2376,技嘉,2.05,33450000
00878,2912,統一超,1.95,48547000
00878,2880,華南金,1.94,314175000
00878,3293,鈊  象,1.86,14243000
00878,2618,長榮航,1.67,269366000
00878,5871,中租-KY,1.66,85399080
00878,5876,上海商銀,1.62,242825590
00919,2891,中信金,11.96,942487000
00919,2882,國泰金,11.84,672350000
00919,2881,富邦金,10.04,471880000
00919,2303,聯電,8.52,365052000
00919,2357,華碩,6.4,38470000
00919,2887,台新新光金,5.9,1106630000
00919,2603,長榮,5.12,116353000
00919,2382,廣達,4.77,63300000
00919,3034,聯詠,3.76,41195000
00919,2618,長榮航,2.09,295934000
00919,3036,文曄,1.66,31530000
00919,2883,凱基金,1.55,303180000
00919,6239,力成,1.53,23134000
00919,2609,陽明,1.44,144830000
00919,2474,可成,1.37,30380000
00919,2404,漢唐,1.34,5816000
00919,5347,世界,1.19,39052441
00919,5522,遠雄,1,72239000
00919,6121,新普,0.92,12014000
00919,2451,創見,0.87,12999000
00919,2504,國產,0.79,117699000
00919,2637,慧洋-KY,0.72,49730000
00919,3293,鈊象,0.68,4530000
00919,3702,大聯大,0.6,27600000
00919,1477,聚陽,0.58,13510000
00919,8112,至上,0.52,29269000
00919,6176,瑞儀,0.51,26941000
00919,2458,義隆,0.49,16280000
00919,2347,聯強,0.42,25200000
00919,1402,遠東新,0.41,79860000
00919,3211,順達,0.39,4580000
00919,4915,致伸,0.38,26666000
00919,2027,大成鋼,0.37,44820000
00919,2211,長榮鋼,0.35,19910000
00919,8070,長華*,0.31,25110000
00919,2542,興富發,0.24,29520000
00919,8454,富邦媒,0.23,3779000
00919,6412,群電,0.22,11370000
00919,1319,東陽,0.2,10860000
00919,2597,潤弘,0.19,5550000
00919,1215,卜蜂,0.18,8510000
00919,6757,台灣虎航,0.17,16810000
00919,1210,大成,0.16,16170000
00919,6890,來億-KY,0.15,3552000
00919,6005,群益證,0.14,17076000
00919,8422,可寧衛*,0.09,17510000
00919,6278,台表科,0.07,1822000
00940,2357,華碩,5.32,4309000
00940,3034,聯詠,3.39,5007000
00940,2356,英業達,3.26,30246000
00940,2618,長榮航,2.89,55058000
00940,1513,中興電,2.82,10879000
00940,2404,漢唐,2.8,1642000
00940,2385,群光,2.7,13283000
00940,2891,中信金,2.65,28126000
00940,2303,聯電,2.63,15195000
00940,2379,瑞昱,2.57,2973000
00940,8069,元太,2.52,8465000
00940,3293,鈊象,2.46,2223000
00940,2881,富邦金,2.41,15240900
00940,3036,文曄,2.27,5820000
00940,2912,統一超,2.21,6498000
00940,3045,台灣大,2.12,13206000
00940,3406,玉晶光,2.04,2240000
00940,2892,第一金,2.02,49430944
00940,3706,神達,1.98,15216000
00940,2610,華航,1.96,70982000
00940,2890,永豐金,1.93,41924000
00940,2885,元大金,1.84,20811000
00940,2615,萬海,1.8,15518000
00940,5269,祥碩,1.79,824000
00940,3042,晶技,1.66,5756000
00940,2801,彰銀,1.65,55591000
00940,3023,信邦,1.63,3770000
00940,6139,亞翔,1.62,1418000
00940,6414,樺漢,1.6,2963000
00940,2454,聯發科,1.56,255000
00940,9904,寶成,1.52,41637000
00940,3702,大聯大,1.51,9329000
00940,2474,可成,1.48,4420000
00940,3044,健鼎,1.47,2072000
00940,6176,瑞儀,1.44,10260000
00940,2458,義隆,1.42,6343000
00940,1102,亞泥,1.41,29628000
00940,6278,台表科,1.36,4622000
00940,1319,東陽,1.35,10081000
00940,2421,建準,1.32,5663000
00940,4915,致伸,1.28,11969000
00940,2393,億光,0.97,10471000
00940,6196,帆宣,0.74,1055000
00940,8016,矽創,0.7,1671000
00940,5469,瀚宇博,0.67,5669000
00940,2915,潤泰全,0.27,4041000
00929,2303,聯華電子,12.14,136324000
00929,2454,聯發科技,10.29,3260000
00929,2357,華碩電腦,7.04,11080000
00929,6239,力成科技,5.58,22138000
00929,3008,大立光電,4.81,1764000
00929,2404,漢唐集成,4.23,4828000
00929,6488,環球晶圓,3.74,6042000
00929,3036,文曄科技,3.07,15276000
00929,3044,健鼎科技,2.94,8049000
00929,3260,威剛科技,2.86,8758000
00929,3034,聯詠科技,2.75,7907000
00929,2301,光寶科技,2.61,14717000
00929,3264,欣銓科技,2.42,14334000
00929,5347,世界先進,2.27,19558000
00929,5536,聖暉工程,2.26,2827000
00929,2324,仁寶電腦,2.01,66656000
00929,6257,矽格股份,1.96,12063000
00929,2330,台灣積體,1.87,1101000
00929,2353,宏碁股份,1.72,61597000
00929,5483,中美矽晶,1.7,14856000
00929,3702,大聯大控,1.65,19861000
00929,4938,和碩聯合,1.63,23608000
00929,3211,順達科技,1.47,4558000
00929,6548,長華科技,1.41,20131000
00929,6147,頎邦科技,1.34,6921000
00929,2474,可成科技,1.32,7631000
00929,3090,日電貿股,1.13,7181000
00929,3563,牧德科技,1.07,1868000
00929,4966,譜瑞-KY,1.04,1930000
00929,3680,家登精密,1.03,2697000
00929,2347,聯強國際,0.93,14453000
00929,2385,群光電子,0.7,6681000
00929,8422,可寧衛股,0.59,29406000
00929,6278,台灣表面,0.52,3412000
00929,6121,新普科技,0.51,1755000
00929,3005,神基控股,0.49,6222000
00929,2458,義隆電子,0.47,4075000
00929,6188,廣明光電,0.46,7462000
00929,3227,原相科技,0.43,2642000
00929,8070,長華電材,0.42,9012000
00929,6176,瑞儀光電,0.32,4362000
00929,4915,致伸科技,0.31,5673000
00929,8016,矽創電子,0.28,1276000
00929,2393,億光電子,0.19,4092000
00929,8454,富邦媒體,0.18,770000
00929,2439,美律實業,0.16,2440000
00929,5388,中磊電子,0.15,2365000
00929,6561,是方電訊,0.05,197000
00929,6412,群光電能,0.02,216000
00713,4904,遠傳,9.8,103960000
00713,3045,台灣大,8.91,83096000
00713,1216,統一,7.91,116297000
00713,2880,華南金,7.63,218991000
00713,2912,統一超,5.84,25710000
00713,2884,玉山金,3.54,114431567
00713,2347,聯強,2.77,33403000
00713,2303,聯電,2.53,21925000
00713,2441,超豐,2.32,18379000
00713,2891,中信金,2.26,35909000
00713,3036,文曄,2.16,8308000
00713,6278,台表科,1.92,9785000
00713,6005,群益證,1.76,44977000
00713,5434,崇越,1.74,4052678
00713,2379,瑞昱,1.63,2825000
00713,2458,義隆,1.62,10849000
00713,2887,台新新光金,1.5,56744000
00713,2885,元大金,1.49,25238648
00713,6414,樺漢,1.44,4011000
00713,1215,卜蜂,1.38,12886000
00713,2357,華碩,1.37,1661000
00713,4766,南寶,1.27,3666000
00713,3034,聯詠,1.26,2793000
00713,3406,玉晶光,1.23,2025000
00713,2890,永豐金,1.21,39577824
00713,2474,可成,1.11,4983000
00713,2606,裕民,1.1,17078000
00713,3010,華立,1.08,8315000
00713,4938,和碩,1.03,11458000
00713,2618,長榮航,1.02,29243000
00713,2385,群光,0.99,7350000
00713,2610,華航,0.96,52396000
00713,9904,寶成,0.94,38424000
00713,9939,宏全,0.91,7878597
00713,9917,中保科,0.9,8281000
00713,2850,新產,0.86,6451000
00713,4915,致伸,0.83,11655000
00713,2207,和泰車,0.7,1559000
00713,2006,東和鋼鐵,0.68,10962000
00713,1210,大成,0.62,12427000
00713,2015,豐興,0.51,8686000
00713,9907,統一實,0.47,30024000
00713,2903,遠百,0.4,19045000
00713,5522,遠雄,0.15,2251000
00713,9941,裕融,0.09,1133000
0052,2330,台積電,64.12,42309027
0052,2454,聯發科,7.18,2549703
0052,2317,鴻海,3.94,21154000
0052,3711,日月光投控,2.14,5690267
0052,2303,聯電,1.61,20216286
0052,2383,台光電,1.53,497000
0052,3037,欣興,1.43,2313901
0052,2327,國巨*,1.27,2692608
0052,2382,廣達,1.18,4577285
0052,3017,奇鋐,0.97,562222
0052,2357,華碩,0.67,1184617
0052,6669,緯穎,0.64,179515
0052,2344,華邦電,0.62,5412296
0052,3231,緯創,0.59,5306520
0052,2301,光寶科,0.53,3369000
0052,2408,南亞科,0.49,1948288
0052,7769,鴻勁,0.46,99000
0052,3481,群創,0.45,12759134
0052,3665,貿聯-KY,0.42,309672
0052,3008,大立光,0.41,167000
0052,3443,創意,0.4,143482
0052,2449,京元電子,0.39,1886321
0052,3661,世芯-KY,0.38,137921
0052,3653,健策,0.35,146499
0052,2379,瑞昱,0.33,843349
0052,3034,聯詠,0.31,997822
0052,2337,旺宏,0.3,3056000
0052,2313,華通,0.29,1720000
0052,6239,力成,0.27,1197441
0052,2395,研華,0.26,796897
0052,3044,健鼎,0.25,776000
0052,6515,穎崴,0.24,44000
0052,3533,嘉澤,0.22,145386
0052,4938,和碩,0.21,3339981
0052,2324,仁寶,0.2,7323249
0052,2409,友達,0.19,10345121
0052,2474,可成,0.13,825000
0052,2347,聯強,0.12,2125107
0052,6805,富世達,0.11,90000
0052,8210,勤誠,0.1,114000
0052,3706,神達,0.09,1538400
0052,2451,創見,0.07,326000
0052,5269,祥碩,0.06,64538
0052,6176,瑞儀,0.05,785000
0052,6191,精成科,0.03,484000
00881,2330,台積電,38.04,20736000
00881,2454,聯發科,10.5,3081000
00881,2308,台達電,7.97,4272000
00881,2317,鴻海,5.56,24668000
00881,2303,聯電,2.92,30406000
00881,3037,欣興,2.89,3872871
00881,2383,台光電,2.46,661000
00881,2360,致茂,2.37,1175000
00881,2345,智邦,2.2,1140000
00881,2382,廣達,1.92,6181000
00881,3017,奇鋐,1.8,865000
00881,6274,台  燿,1.6,1224000
00881,3231,緯創,1.59,11779000
00881,6223,旺矽,1.57,337000
00881,2368,金像電,1.38,1327000
00881,3008,大立光,1.31,447000
00881,4958,臻鼎-KY,1.29,3414000
00881,3665,貿聯-KY,1.23,741541
00881,2059,川湖,1.2,291000
00881,2449,京元電子,1.1,4439000
00881,2379,瑞昱,0.97,2023000
00881,3034,聯詠,0.92,2458000
00881,2313,華通,0.86,4216000
00881,3045,台灣大,0.82,9167000
00881,4904,遠傳,0.8,10203000
00881,3036,文曄,0.72,3328000
00881,3105,穩懋,0.69,1843000
00881,4938,和碩,0.68,9179000
00922,2330,台積電,40,13884431
00922,2454,聯發科,7.27,1358931
00922,2308,台達電,5.84,1994333
00922,2317,鴻海,4.13,11675509
00922,3711,日月光投控,2.75,3834745
00922,2327,國巨,2.19,2436784
00922,2383,台光電,2.09,358271
00922,2303,聯電,2.05,13606860
00922,2345,智邦,1.86,612463
00922,2891,中信金,1.63,19854183
00922,3017,奇鋐,1.44,439411
00922,2382,廣達,1.4,2878077
00922,2881,富邦金,1.38,10020458
00922,3037,欣興,1.36,1160230
00922,2885,元大金,1.18,15233506
00922,2360,致茂,1.12,353544
00922,2887,台新新光金,1.09,31471957
00922,2357,華碩,0.92,855368
00922,2883,凱基金,0.87,26403127
00922,3231,緯創,0.79,3723828
00922,2412,中華電,0.76,4447392
00922,2884,玉山金,0.73,18147544
00922,3008,大立光,0.72,155920
00922,5274,信  驊,0.68,30950
00922,1303,南亞,0.67,4974000
00922,2368,金像電,0.56,342595
00922,2379,瑞昱,0.55,735812
00922,5871,中租-KY,0.54,3773488
00922,4958,臻鼎-KY,0.52,867000
00922,3034,聯詠,0.51,861548
00922,3443,創意,0.5,94049
00922,3653,健策,0.48,106199
00922,2880,華南金,0.47,10325519
00922,2892,第一金,0.45,12477164
00922,6446,藥華藥,0.41,365000
00922,1590,亞德客-KY,0.4,254538
00922,2449,京元電子,0.39,1012487
00922,6223,旺矽,0.37,51000
00922,3529,力旺,0.36,85000
00992A,2330,台積電,8.3836,1706000
